metric,value
Median age of persons,38.0
Median total personal income ($/weekly),690.0
Median total family income ($/weekly),1991.0
Median total household income ($/weekly),1668.0
Median mortgage repayment ($/monthly),2000.0
Median rent ($/weekly)(a),381.0
Average number of persons per bedroom,0.8
Average household size,2.6
