suburb,status,treated
ararat,,0.0
avenel,,0.0
bacchus marsh,,0.0
ballarat,,0.0
baxter,,0.0
bell park,,0.0
benalla,,0.0
bendigo,,0.0
bittern,,0.0
bowser,,0.0
brighton,,0.0
brooklyn,,0.0
bunyip,,0.0
burnley,,0.0
camberwell,,0.0
castlemaine,,0.0
clifton hill,,0.0
coburg north,,0.0
colac,,0.0
corio,,0.0
cressy,,0.0
diamond creek,,0.0
dimboola,,0.0
donnybrook,,0.0
drouin,,0.0
eltham,,0.0
epping,,0.0
euroa,,0.0
fairfield,,0.0
fawkner,,0.0
ferntree gully,,0.0
frankston south,,0.0
geelong,,0.0
gisborne,,0.0
glenorchy,,0.0
hadfield,,0.0
hampton,,0.0
hastings,,0.0
heathcote junction,,0.0
ivanhoe,,0.0
kaniva,,0.0
kensington,,0.0
kyneton,,0.0
lara,,0.0
little river,,0.0
locksley,,0.0
longwarry,,0.0
longwood,,0.0
malvern,,0.0
manor,,0.0
moe,,0.0
moonee ponds,,0.0
morwell,,0.0
murchison east,,0.0
murtoa,,0.0
nar nar goon,,0.0
newmarket,,0.0
north brighton,,0.0
north geelong,,0.0
north melbourne,,0.0
northcote,,0.0
pascoe vale,,0.0
port melbourne,,0.0
prahran,,0.0
ripponlea,,0.0
riversdale,,0.0
rochester,,0.0
rockbank,,0.0
royal park,,0.0
sandringham,,0.0
shepparton,,0.0
somerville,,0.0
south melbourne,,0.0
springhurst,,0.0
stawell,,0.0
thomastown,,0.0
thornbury,,0.0
trafalgar,,0.0
traralgon,,0.0
tyabb,,0.0
tynong,,0.0
upfield,,0.0
upper ferntree gully,,0.0
violet town,,0.0
wallan,,0.0
wangaratta,,0.0
warragul,,0.0
wattle glen,,0.0
wendouree,,0.0
westmere,,0.0
windsor,,0.0
woodend,,0.0
yarragon,,0.0
